	mFMI	AUROC
0	0.9027043123425302	0.8329893360853113
1	0.8104909199889483	0.8261278195488722
2	0.8104909199889483	0.7434442270058708
3	0.3793103448275862	0.5607476635514019
4	0.4568965517241379	0.65625
5	0.8823261462235427	0.8243808859434949
6	0.9508569171385068	0.9207573632538569
7	0.8612062323995845	0.8069957386363636
8	0.5704906425537912	0.6571428571428571
9	0.7474229639555368	0.7462053571428571
10	0.7122717551651951	0.688433734939759
11	0.559048475113781	0.6043771043771045
12	0.9554771375740279	0.8961805555555555
13	0.8718639918547052	0.853125
14	0.9508569171385068	0.8699411968177101
15	0.43610739024241285	0.6745283018867925
16	0.6308945360695997	0.78125
17	0.8823261462235427	0.7725845831880014
18	0.7985182598008245	0.8081825657894737
19	0.9825403404011129	0.9591619318181818
20	0.6022142251367824	0.6963448922211809
21	0.8336283741690464	0.7851102941176471
22	0.9781050084804493	0.9513227513227513
23	0.3017241379310345	
24	0.9320374624286522	0.8308747855917668
25	0.8665602500303851	0.7507102272727273
26	0.8874871544606615	0.7575863271712592
27	0.9956762688792451	0.9927193301783764
28	0.3793103448275862	0.8504672897196262
29	0.5920251420772886	0.6974826388888888
30	0.6216202640565427	0.6607287449392713
31	0.8279393952424777	0.794314381270903
32	0.7672413793103448	0.760485197368421
33	0.6399145732057419	0.6362007168458781
34	0.559048475113781	0.6663265306122449
35	0.9600649342081649	0.8860448807854138
36	0.9781050084804493	0.9165497896213184
37	0.9224137931034483	0.892318244170096
38	0.559048475113781	0.688265306122449
39	0.8665602500303851	0.843969144460028
40	0.8163728122965275	0.7802854938271605
41	0.9126385419491923	0.8599931200550396
42	0.9415163901820508	0.8958620689655172
43	0.8336283741690464	0.8504689754689755
44	0.94620357557123	0.8922413793103449
45	0.9320374624286522	0.865008576329331
46	0.7474229639555368	0.7448717948717949
47	0.94620357557123	0.8851049191606467
48	0.7541255780483422	0.7743434343434343
49	0.8926030857997859	0.869625042999656
50	0.8221882361421924	0.7471804511278195
51	0.9126385419491923	0.8110344827586207
52	0.9076917851996542	0.8578296703296704
53	0.47521217066808713	0.654368932038835
54	0.8392571471765481	0.796875
55	0.8045402266006099	0.7700715421303657
56	0.6022142251367824	0.6903495440729484
57	0.9224137931034483	0.8791152263374485
58	0.733705855736812	0.7711069418386491
59	0.8926030857997859	0.8291248702870979
60	0.6120689655172413	0.7080971659919029
61	0.8045402266006099	0.7669753086419753
62	0.8392571471765481	0.7691729323308271
63	0.6022142251367824	0.6704453441295546
64	0.8221882361421924	0.7794061667301104
65	0.7266812946160772	0.7905722326454034
66	0.4568965517241379	0.6412698412698412
67	0.7122717551651951	0.7899048625792812
68	0.7541255780483422	0.7412946428571429
69	0.6308945360695997	0.6746913580246914
70	0.9367946116107936	0.8716981132075472
71	0.6022142251367824	0.7389817629179332
72	0.9825403404011129	0.9657287157287158
73	0.9415163901820508	0.9248263888888889
74	0.8104909199889483	0.828125
75	0.6487002034051398	0.7326766304347826
76	0.6572688039189876	0.692193968066233
77	0.9272441356438531	0.8607681755829903
78	0.5704906425537912	0.7677951388888888
79	0.6022142251367824	0.7230243161094225
80	0.6216202640565427	0.7598784194528876
81	0.8448275862068966	0.7551470588235294
82	0.5470732667372018	0.7280612244897959
83	0.7541255780483422	0.7594017094017094
84	0.5069979465481148	0.6195190947666196
85	0.8336283741690464	0.8491267186919361
86	0.733705855736812	0.7581161408321903
87	0.7541255780483422	0.7830641641204714
