	mFMI	AUROC
0	0.8994385382723346	0.8705882352941177
1	0.8407833120476799	0.9091736439752457
2	0.7125283277574964	0.7233044733044733
3	0.7030651340996169	0.6752821259555879
4	0.8105576841209026	0.8953823953823954
5	0.7559070633595041	0.8918820531488897
6	0.8268304345117883	0.9389097744360902
7	0.7071591073407493	0.8528053977272727
8	0.6913510908582523	0.774597495527728
9	0.8225668169377012	0.8573421695151726
10	0.7819387845828483	0.8632352941176471
11	0.7559070633595041	0.8670840787119857
12	0.7425664618529925	0.7499048344118766
13	0.7450844775048355	0.7971377459749552
14	0.6535759897828863	0.7132352941176471
15	0.8312169228361954	0.8184513428671085
16	0.5778543068707307	0.8583774250440916
native	1.0	0.9875
