	Lan-Huh7	Lan-Vero	Lan-Vero-1	Lan-Vero-2	Manfredonia-vitro
Lan-Huh7	1.0	0.8073319167545678	0.8371747946324528	0.7908221827109448	0.6770992326556314
Lan-Vero	0.8073319167545678	1.0	0.918279277898296	0.9481770083122041	0.5675415634067073
Lan-Vero-1	0.8371747946324528	0.918279277898296	1.0	0.9070405703120356	0.5954745675134927
Lan-Vero-2	0.7908221827109448	0.9481770083122041	0.9070405703120356	1.0	0.5577950815005732
Manfredonia-vitro	0.6770992326556314	0.5675415634067073	0.5954745675134927	0.5577950815005732	1.0
