	FPR	TPR
0	0.0	0.0
1	0.0	0.024390243902439025
2	0.0	0.04878048780487805
3	0.0	0.07317073170731707
4	0.0	0.0975609756097561
5	0.0	0.12195121951219512
6	0.0	0.14634146341463414
7	0.0	0.17073170731707318
8	0.0	0.1951219512195122
9	0.0	0.21951219512195122
10	0.0	0.24390243902439024
11	0.0	0.2682926829268293
12	0.0	0.2926829268292683
13	0.0	0.3170731707317073
14	0.0	0.34146341463414637
15	0.0	0.36585365853658536
16	0.0	0.3902439024390244
17	0.0	0.4146341463414634
18	0.0	0.43902439024390244
19	0.0	0.4634146341463415
20	0.0	0.4878048780487805
21	0.0	0.5121951219512195
22	0.0	0.5365853658536586
23	0.0	0.5609756097560976
24	0.0	0.5853658536585366
25	0.0	0.6097560975609756
26	0.0	0.6341463414634146
27	0.0	0.6585365853658537
28	0.0	0.6829268292682927
29	0.0	0.7073170731707317
30	0.0	0.7317073170731707
31	0.0	0.7560975609756098
32	0.0	0.7804878048780488
33	0.0	0.8048780487804879
34	0.0	0.8292682926829268
35	0.0	0.8536585365853658
36	0.0	0.8780487804878049
37	0.0	0.9024390243902439
38	0.0	0.926829268292683
39	0.0	0.9512195121951219
40	0.0	0.975609756097561
41	0.06666666666666667	0.975609756097561
42	0.13333333333333333	0.975609756097561
43	0.2	0.975609756097561
44	0.26666666666666666	0.975609756097561
45	0.3333333333333333	0.975609756097561
46	0.4	0.975609756097561
47	0.4666666666666667	0.975609756097561
48	0.4666666666666667	1.0
49	0.5333333333333333	1.0
50	0.6	1.0
51	0.6666666666666666	1.0
52	0.7333333333333333	1.0
53	0.8	1.0
54	0.8666666666666667	1.0
55	0.9333333333333333	1.0
56	1.0	1.0
