	Lan-Huh7	Lan-Vero	Manfredonia	Huston	Sun
Lan-Huh7	0.9463358395186414	0.8349770172911565	0.7107445727747683	0.6579955894913756	0.8138903244954276
Lan-Vero	0.9342764815380984	0.8840219817832329	0.7219101001672316	0.6710829986758277	0.8210731293192727
Manfredonia	0.8485010005790646	0.7991504067967456	0.7593886881664261	0.6425747707052736	0.7956042216376249
Huston	0.8563073457533794	0.8037216929965889	0.7022062765238686	0.7046745968134791	0.8080547632436877
Sun	0.862047555864451	0.8066474235334044	0.7123434274275644	0.6511388673983316	0.8266742570473833
