	FPR	TPR
0	0.0	0.0
1	0.0	0.020833333333333332
2	0.0	0.041666666666666664
3	0.0	0.0625
4	0.0	0.08333333333333333
5	0.0	0.10416666666666667
6	0.0	0.125
7	0.0	0.14583333333333334
8	0.0	0.16666666666666666
9	0.0	0.1875
10	0.0	0.20833333333333334
11	0.0	0.22916666666666666
12	0.0	0.25
13	0.0	0.2708333333333333
14	0.0	0.2916666666666667
15	0.0	0.3125
16	0.0	0.3333333333333333
17	0.0	0.3541666666666667
18	0.0	0.375
19	0.0	0.3958333333333333
20	0.0	0.4166666666666667
21	0.0	0.4375
22	0.0	0.4583333333333333
23	0.0	0.4791666666666667
24	0.0	0.5
25	0.0	0.5208333333333334
26	0.0	0.5416666666666666
27	0.0	0.5625
28	0.0	0.5833333333333334
29	0.0	0.6041666666666666
30	0.0	0.625
31	0.0	0.6458333333333334
32	0.0	0.6666666666666666
33	0.0	0.6875
34	0.0	0.7083333333333334
35	0.0	0.7291666666666666
36	0.0	0.75
37	0.0	0.7708333333333334
38	0.0	0.7916666666666666
39	0.0	0.8125
40	0.0	0.8333333333333334
41	0.0	0.8541666666666666
42	0.0	0.875
43	0.0	0.8958333333333334
44	0.0	0.9166666666666666
45	0.0	0.9375
46	0.0	0.9583333333333334
47	0.058823529411764705	0.9583333333333334
48	0.11764705882352941	0.9583333333333334
49	0.17647058823529413	0.9583333333333334
50	0.23529411764705882	0.9583333333333334
51	0.29411764705882354	0.9583333333333334
52	0.35294117647058826	0.9583333333333334
53	0.4117647058823529	0.9583333333333334
54	0.47058823529411764	0.9583333333333334
55	0.47058823529411764	0.9791666666666666
56	0.5294117647058824	0.9791666666666666
57	0.5882352941176471	0.9791666666666666
58	0.6470588235294118	0.9791666666666666
59	0.6470588235294118	1.0
60	0.7058823529411765	1.0
61	0.7647058823529411	1.0
62	0.8235294117647058	1.0
63	0.8823529411764706	1.0
64	0.9411764705882353	1.0
65	1.0	1.0
