	Lan-Huh7	Lan-Vero	Lan-Vero-1	Lan-Vero-2	Manfredonia-vitro
Lan-Huh7	1.0	0.8397443377539898	0.8701023147304376	0.8335307546100447	0.6159306624076414
Lan-Vero	0.8397443377539898	1.0	0.9309674925910862	0.9455084962543108	0.5908327175762936
Lan-Vero-1	0.8701023147304376	0.9309674925910862	1.0	0.9321283739325439	0.615308271174511
Lan-Vero-2	0.8335307546100447	0.9455084962543108	0.9321283739325439	1.0	0.5995602336517567
Manfredonia-vitro	0.6159306624076414	0.5908327175762936	0.615308271174511	0.5995602336517567	1.0
